Abstract_id,Abstract
188,"This paper reports geochemical characteristics of granitic rocks and enrichment of rare earth elements (REE) in their weathered crusts in central and southern Laos in order to assess a REE resource potential of ion-adsorption type mineralization. The granitic rocks in the studied area consist mainly of biotite ± hornblende granodiorite and biotite granite with low to moderate total REE contents with the range of 36 - 339 ppm. The granitic rocks are enriched in light REE (LREE) with the depletion of heavy REE (HREE) compared with HREE-enriched granites in southern China and southwest Japan.This difference in the enrichment of HREE is probably derived from poor differentiation of magma for granite. Weathered crusts of the granitic rocks are generally well developed and rich in kaolin and illite.The weathered crusts can be divided into the A, B and C horizons from top to bottom and the B horizon is enriched in REE relative to the parent rocks whereas the A and C horizons are generally depleted or less enriched in REE. Weathered crusts with relatively high REE contents are locally identifi ed in the Attapu and Xaisomboun districts. Geochemical data and results of sequential leaching suggest that the enrichment of REE is attributed to the occurrence of ion-exchangeable clay minerals and REE phosphates in the weathered crusts and that HREE are selectively adsorbed on the clay minerals than LREE by weathering."
213,"The resource budget of Earth is limited. Rare-earth elements (REEs) are used across the world by society on a daily basis yet several of these elements have &lt;2500 years of reserves left, based on current demand, mining operations, and technologies. With an increasing population, exploration of potential extraterrestrial REE resources is inevitable, with the Earth’s Moon being a logical first target. Following lunar differentiation at ~4.50–4.45 Ga, a late-stage (after ~99% solidification) residual liquid enriched in Potassium (K), Rare-earth elements (REE), and Phosphorus (P), (or “KREEP”) formed. Today, the KREEP-rich region underlies the Oceanus Procellarum and Imbrium Basin region on the lunar near-side (the Procellarum KREEP Terrain, PKT) and has been tentatively estimated at preserving 2.2 × 108 km3 of KREEP-rich lithologies. The majority of lunar samples (Apollo, Luna, or meteoritic samples) contain REE-bearing minerals as trace phases, e.g., apatite and/or merrillite, with merrillite potentially contributing up to 3% of the PKT. Other lunar REE-bearing lunar phases include monazite, yittrobetafite (up to 94,500 ppm yttrium), and tranquillityite (up to 4.6 wt % yttrium, up to 0.25 wt % neodymium), however, lunar sample REE abundances are low compared to terrestrial ores. At present, there is no geological, mineralogical, or chemical evidence to support REEs being present on the Moon in concentrations that would permit their classification as ores. However, the PKT region has not yet been mapped at high resolution, and certainly has the potential to yield higher REE concentrations at local scales (&lt;10s of kms). Future lunar exploration and mapping efforts may therefore reveal new REE deposits. Beyond the Moon, Mars and other extraterrestrial materials are host to REEs in apatite, chevkinite-perrierite, merrillite, whitlockite, and xenotime. These phases are relatively minor components of the meteorites studied to date, constituting &lt;0.6% of the total sample. Nonetheless, they dominate a samples REE budget with their abundances typically 1–2 orders of magnitude enriched relative to their host rock. As with the Moon, though phases which host REEs have been identified, no extraterrestrial REE resource, or ore, has been identified yet. At present extraterrestrial materials are therefore not suitable REE-mining targets. However, they are host to other resources that will likely be fundamental to the future of space exploration and support the development of in situ resource utilization, for example: metals (Fe, Al, Mg, PGEs) and water."
218,"Rare earth elements (REEs) generate characteristic absorption features in visible to shortwave infrared (VNIRSWIR) reflectance spectra. Neodymium (Nd) has among the most prominent absorption features of the REEs and thus represents a key pathfinder element for the REEs as a whole. Given that the world's largest REE deposits are associated with carbonatites, we present spectral, petrographic, and geochemical data from a predominantly carbonatitic suite of rocks that we use to assess the feasibility of imaging REE deposits using remote sensing. Samples were selected to cover a wide range of extents and styles of REE mineralization, and encompass calcio-, ferro-and magnesio-carbonatites. REE ores from the Bayan Obo (China) and Mountain Pass (United States) mines, as well as REE-rich alkaline rocks from the Motzfeldt and Ilímaussaq intrusions in Greenland, were also included in the sample suite. The depth and area of Nd absorption features in spectra collected under laboratory conditions correlate positively with the Nd content of whole-rock samples. The wavelength of Nd absorption features is predominantly independent of sample lithology and mineralogy. Correlations are most reliable for the two absorption features centered at ∼744 and ∼802 nm that can be observed in samples containing as little as ∼1,000 ppm Nd. By convolving laboratory spectra to the spectral response functions of a variety of remote sensing instruments we demonstrate that hyperspectral instruments with capabilities equivalent to the operational Airborne Visible-Infrared Imaging Spectrometer (AVIRIS) and planned Environmental Mapping and Analysis Program (EnMAP) systems have the spectral resolutions necessary to detect Nd absorption features, especially in high-grade samples with economically relevant REE accumulations (Nd&gt; 30,000 ppm). Adding synthetic noise to convolved spectra indicates that correlations between Nd absorption area and whole-rock Nd content only remain robust when spectra have signal-to-noise ratios in excess of ∼250:1. Although atmospheric interferences are modest across the wavelength intervals relevant for Nd detection, most REE-rich outcrops are too small to be detectable using satellite-based platforms with&gt;30-m spatial resolutions. However, our results indicate that Nd absorption features should be identifiable in high-quality, airborne, hyperspectral datasets collected at meter-scale spatial resolutions. Future deployment of hyperspec-tral instruments on unmanned aerial vehicles could enable REE grade to be mapped at the centimeter scale across whole deposits."
225,"The increasing demand for rare earth elements (REEs) in the modern economy motivates the development of novel strategies for cost-effective REE recovery from nontraditional feedstocks. We previously engineered E. coli to express lanthanide binding tags on the cell surface, which increased the REE biosorption capacity and selectivity. Here we examined how REE adsorption by the engineered E. coli is affected by various geochemical factors relevant to geothermal fluids, including total dissolved solids (TDS), temperature, pH, and the presence of specific competing metals. REE biosorption is robust to TDS, with high REE recovery efficiency and selectivity observed with TDS as high as 165,000 ppm. Among several metals tested, U, Al, and Pb were found to be the most competitive, causing >25% reduction in REE biosorption when present at concentrations ∼3- to 11-fold higher than the REEs. Optimal REE biosorption occurred between pH 5-6, and sorption capacity was reduced by ∼65% at pH 2. REE recovery efficiency and selectivity increased as a function of temperature up to ∼70 °C due to the thermodynamic properties of metal complexation on the bacterial surface. Together, these data define the optimal and boundary conditions for biosorption and demonstrate its potential utility for selective REE recovery from geofluids."
228,"Μining waste, processing by-products and mine water discharges pose a serious threat to the environment as in many cases they contain high concentrations of toxic substances. However, they may also be valuable resources. The main target of the current review is the comparative study of the occurrence of rare earth elements (REE) in mining waste and mine water discharges produced from the exploitation of coal, bauxite, phosphate rock and other ore deposits. Coal combustion ashes, bauxite residue and phosphogypsum present high percentages of critical REEs (up to 41% of the total REE content) with ΣREY content ranging from 77 to 1957.7 ppm. The total REE concentrations in mine discharges from different coal and ore mining areas around the globe are also characterised by a high range of concentrations from 0.25 to 9.8 ppm and from 1.6 to 24.8 ppm, respectively. Acid mine discharges and their associated natural and treatment precipitates seem to be also promising sources of REE if their extraction is coupled with the simultaneous removal of toxic pollutants."
239,"Recovering aqueous rare earth elements (REEs) from domestic water sources is one key strategy to diminish the U.S.’s foreign reliance of these precious commodities. Herein, we synthesized an array of porous, amine–epoxy monolith and particle REE recovery sorbents from different polyamine, namely tetraethylenepentamine, and diepoxide (E2), triepoxide (E3), and tetra-epoxide (E4) monomer combinations via a polymer-induced phase separation (PIPS) method. The polyamines provided −NH 2 (primary amine) plus −NH (secondary amine) REE adsorption sites, which were partially reacted with C–O–C (epoxide) groups at different amine/epoxide ratios to precipitate porous materials that exhibited a wide range of apparent porosities and REE recoveries/affinities. Specifically, polymer particles (ground monoliths) were tested for their recovery of La 3+, Nd 3+, Eu 3+, Dy 3+, and Yb 3+ (Ln 3+ ) species from ppm-level, model REE solutions (pH ≈ 2.4, 5.5, and 6.4) and a ppb-level, simulated acid mine drainage (AMD) solution (pH ≈ 2.6). Screening the sorbents revealed that E3/TEPA-88 (88% theoretical reaction of −NH 2 plus −NH) recovered, overall, the highest percentage of Ln 3+ species of all particles from model 100 ppm- and 500 ppm-concentrated REE solutions. Water swelling (monoliths) and ex situ, diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS) (ground monoliths/particles) data revealed the high REE uptake by the optimized particles was facilitated by effective distribution of amine and hydroxyl groups within a porous, phase-separated polymer network. In situ DRIFTS results clarified that phase separation, in part, resulted from polymerization of the TEPA-E3 ( N - N -diglycidyl-4-glycidyloxyaniline) species in the porogen via C–N bond formation, especially at higher temperatures. Most importantly, the E3/TEPA-88 material cyclically recovered >93% of ppb-level Ln 3+ species from AMD solution in a recovery–strip–recovery scheme, highlighting the efficacy of these materials for practical applications."
266,"Karst bauxite deposits are currently investigated as a new resource for rare earth elements (REE) in order to avoid present and future supply shortfalls of these critical metals. The present work focuses on the geochemistry and mineralogy of the REE in karst bauxite deposits of the Catalan Coastal Range (CCR), NE-Spain. It is revealed that the studied bauxitic ores have a dominant breccia and local ooido-pisoidic and pelitomorphic texture. The bauxitic ores are mostly composed of kaolinite and hematite, as well as of lesser amounts of boehmite, diaspore, rutile and calcite. The mineralogy and major element composition indicate incomplete bauxitization of an argillaceous precursor material possibly derived from the erosion of the Mesozoic Ebro massif paleo-high. The studied bauxites are characterized by ∑REE (including Sc, Y) between 286 and 820 ppm (av. 483 ppm) and light REE to heavy REE (LREE/HREE) ratios up to 10.6. REE are mainly concentrated in phosphate minerals, identified as monazite-(Ce) and xenotime-(Y) of detrital origin and unidentified REE-phosphates of a possible authigenic origin. REE remobilization presumably took place under acidic conditions, whereas REE entrapment in the form of precipitation of authigenic rare earth minerals from percolating solutions was related to neutral to slightly alkaline conditions. During the bauxitization process no significant REE fractionation took place and the REE distribution pattern of the bauxitic ores was governed by the REE budget of the precursor material. Finally, adsorption as a main REE scavenging mechanism in the studied CCR bauxite deposits should not be considered, since the presented data did not reveal significant REE contents in Fe-and Mn-oxyhydroxides and clay minerals."
275,"Fly ash was collected from individual mechanical and electrostatic precipitator (ESP) hoppers at a 130-MW pulverized-coal utility unit burning a southeastern Kentucky moderate- to high-S Pennsylvanian Fire Clay coal. The fly ash particle size is generally similar within each row of the mechanical and ESP hoppers, with the mean particle diameter decreasing from >36 μmin the mechanical hoppers to 6 μm in the last ESP row. Rare earth element (REE)–bearing phases occur within fine minerals and, possibly, as part of the fly ash glass phase. Transmission electron microscopy was used to identify Y-Ce-Nd-La–bearing regions within a glassy matrix. Y- and U-bearing zircons were also found in the fly ash. Total REE plus yttrium (REY) occupies a narrow range from 719 to 775 ppm, showing an overall lack of partitioning of the REY elements with respect to particle size and temperature in ash collection systems. The heavy REE increase and the light REE/heavy REE ratio decreases from the mechanical hoppers through ESP rows."
283,"The Xuanwei Formation is widely distributed in western Guizhou Province, NW China, the lower section of which is primarily composed of gray-white kaolinitic claystone interbedded with thin layers of grayish black carbonaceous mudstone that are extremely enriched with rare earth elements. In order to determine the distribution patterns and existing status of ore-forming elements in these rocks, careful field investigations were performed along a selected geological profile and rock samples were collected and studied in terms of mineralogical and geochemical characteristics. The results show that: 1) REEs are primarily enriched in the grayish white kaolinitic clay sediments and grayish black carbonaceous mudstone. Mineralogical analyses revealed kaolinite as the major mineral in rocks along with smaller amounts of smectite, illite, boehmite, hornblende, pyrophyllite, calcite, dolomite and/or iron-bearing minerals, as well as a certain proportion of feldspar, quartz crystal debris and non-crystal debris. 2) ∑ REE contents are 89.0 to 9965 ppm with an average of 1312 ppm. The thickness of the host rock with ∑ REE higher than 1300 ppm is more than 4 m, which is referred to as the “REE-enriched layer”. 3) The REE contents of bulk rocks exhibit a negative correlation with kaolinite, positive correlations with boehmite, hornblende and iron-bearing minerals, and weak positive correlations with smectite, illite and pyrophyllite, indicating that the REE might exist in an ion adsorption state in the space between the layers of clay minerals. 4) Compared with the underlying Emeishan Basalts, the REE patterns of samples are quite similar but are enriched in both LREE and HREE. The degree of enrichment of HREE is relatively high. Based on these results, a model is suggested where the REE-enriched layers originated from the Emeishan Basalts and were controlled by the transportation and deposition of detritus from a paleo-weathering crust. The hard clay rocks have a significant resource potential, as the contents of REE, Ga, Nb and Zr are considerably higher than those in the weathering crust type of REE deposit."
306,"Skeletal and non-skeletal components of marine sedimentary rocks have been analyzed for the purpose of reconstructing the rare earth element (REE) and yttrium (Y) compositions of paleo-seawater, but skeletal carbonates frequently have proven to be unreliable recorders of seawater chemistry. Here, we present a systematic multi-technique assessment of rare earth and other trace elements in ooid sands from the modern Great Bahama Bank (GBB–marine) and Great Salt Lake (GSL–continental) based on strong-acid (hydrofluoric and nitric) and weak-acid (acetic) digestions, as well as laser ablation (LA) of ooid cortices and nuclei. The results show that Bahamian ooid cortices possess shale-normalized REE + Y features nearly identical to those of shallow seawater, including limited contamination from siliciclastic REEs. An admixture of even 0.2% of detritally sourced material can modify the primary marine REE + Y patterns by, for example, increasing the light REE (LREE) content. Mean values of LA data for Bahamian ooid cortices exhibit similar REE + Y signatures to those produced by acetic acid digestion, but LA data are generally noisier, primarily as a result of low REE concentrations and the small volume of carbonate ablated in analysis. Screening out samples with ΣREE <0.9 ppm reveals more uniform, seawater-like REE + Y patterns in individual ooid cortices as well as high, uniform REE distribution coefficients (116 ± 21, from La to Lu) with respect to ambient seawater. Ooid laminae show no distinct alternation between oxic and anoxic pore fluid characteristics, suggesting that growing ooids primarily formed under oxic conditions in carbonate shoal settings, even when buried during their resting phase. Unlike Bahamian ooids, shale-normalized REE + Y patterns of GSL ooids digested in weak acid show slightly depleted LREE compositions that may deviate from ambient fluids owing to release of REEs from an included clay fraction based on comparison between digestion and LA methods. Multiple ablation spots within the same cortex allowed direct comparison of more and less contaminated portions of a single ooid. Nearly uniform positive Ce anomalies may be related to strongly alkaline water conditions. Individual ablation spots that are partially overprinted by siliciclastic-derived REEs contain variable Zr contents (from 0.096 to ~4 ppm) and flattened shale-normalized LREE patterns. The least-contaminated GSL ooid cortex yields an LREE-depleted REE + Y distribution. Normalization of the REE + Y distributions of least-contaminated GSL ooids using reliable GBB ooid distributions (i.e., with ΣREE > 0.9 ppm) returns a flat pattern, suggesting similar degrees of LREE depletion controlled by carbonate complexation under similar aqueous alkalinity conditions in Great Salt Lake and Bahamian waters. In summary, ooids can be a reliable proxy for REE + Y characteristics of ambient surficial waters when adopting suitable analytical methods, including laser ablation, that allow the identification and isolation of a contamination signal from siliciclastic detritus."
